seed,pipesense_cycles,async03_approx_cycles,pipesense_energy_proxy,async03_approx_energy_proxy,pipesense_transitions,async03_approx_transitions,pipesense_faults,async03_approx_faults,pipesense_timeouts,async03_approx_timeouts
1,122,177,678,646,1,16,0,0,0,0
2,122,173,703,721,1,12,0,0,0,0
3,113,164,680,680,0,12,0,0,0,0
4,143,191,814,804,2,12,0,0,0,0
5,134,184,770,766,2,12,0,0,0,0
6,137,196,792,804,1,14,0,0,0,0
7,134,190,763,752,2,14,0,0,0,0
8,120,175,700,680,0,14,0,0,0,0
9,118,181,655,622,0,18,0,0,0,0
10,130,192,717,684,1,16,0,0,0,0
11,116,205,656,672,1,23,0,0,0,0
12,106,193,619,607,0,22,0,0,0,0
13,151,190,826,749,2,10,0,0,0,0
14,122,178,708,703,0,14,0,0,0,0
15,118,147,703,611,0,8,0,0,0,0
16,121,176,697,636,1,14,0,0,0,0
17,120,173,677,648,1,14,0,0,0,0
18,138,175,768,748,1,10,0,0,0,0
19,117,168,665,621,0,14,0,0,0,0
20,127,152,757,762,0,6,0,0,0,0
21,119,161,651,605,2,14,0,0,0,0
22,116,161,651,646,1,12,0,0,0,0
23,125,175,744,723,0,12,0,0,0,0
24,120,170,708,685,1,14,0,0,0,0
25,121,187,705,709,0,16,0,0,0,0
26,119,170,664,589,1,14,0,0,0,0
27,134,211,750,763,2,18,0,0,0,0
28,121,174,686,684,1,14,0,0,0,0
29,133,199,752,775,1,16,0,0,0,0
30,128,198,736,725,0,18,0,0,0,0
31,121,188,699,704,0,16,0,0,0,0
32,115,169,673,654,0,14,0,0,0,0
33,128,175,735,747,1,12,0,0,0,0
34,130,175,737,731,1,12,0,0,0,0
35,129,198,733,717,1,18,0,0,0,0
36,104,153,600,575,0,14,0,0,0,0
37,123,170,724,727,0,12,0,0,0,0
38,121,174,695,691,0,14,0,0,0,0
39,109,189,642,655,0,20,0,0,0,0
40,112,180,624,616,1,18,0,0,0,0
41,129,205,734,748,1,18,0,0,0,0
42,119,194,693,702,0,18,0,0,0,0
43,135,192,778,810,1,12,0,0,0,0
44,148,208,834,837,2,14,0,0,0,0
45,120,149,718,738,1,6,0,0,0,0
46,126,169,700,661,1,12,0,0,0,0
47,115,185,661,654,0,18,0,0,0,0
48,119,191,682,685,0,18,0,0,0,0
49,120,154,705,675,0,10,0,0,0,0
50,122,159,706,599,0,10,0,0,0,0
51,121,181,711,669,0,15,0,0,0,0
52,125,187,710,704,1,16,0,0,0,0
53,126,195,696,655,2,18,0,0,0,0
54,129,192,711,697,2,18,0,0,0,0
55,142,207,765,735,3,18,0,0,0,0
56,126,183,735,706,1,13,0,0,0,0
57,126,173,722,685,0,12,0,0,0,0
58,127,180,706,695,2,14,0,0,0,0
59,122,203,685,679,1,20,0,0,0,0
60,120,176,701,700,0,14,0,0,0,0
61,115,178,692,678,0,14,0,0,0,0
62,127,169,685,673,3,12,0,0,0,0
63,125,169,703,703,1,12,0,0,0,0
64,114,195,657,674,1,19,0,0,0,0
65,116,184,674,651,0,18,0,0,0,0
66,111,159,645,624,0,12,0,0,0,0
67,115,188,671,672,0,18,0,0,0,0
68,123,208,697,712,1,20,0,0,0,0
69,139,195,756,732,2,16,0,0,0,0
70,112,174,628,634,1,16,0,0,0,0
71,109,167,632,611,0,16,0,0,0,0
72,117,153,658,663,1,10,0,0,0,0
73,115,183,650,601,0,18,0,0,0,0
74,123,182,690,672,1,16,0,0,0,0
75,130,192,721,699,1,18,0,0,0,0
76,132,179,742,749,1,12,0,0,0,0
77,124,199,690,669,1,18,0,0,0,0
78,119,202,683,679,0,20,0,0,0,0
79,109,149,635,620,0,10,0,0,0,0
80,130,198,723,710,1,18,0,0,0,0
81,131,197,759,754,1,16,0,0,0,0
82,120,190,667,651,1,18,0,0,0,0
83,108,180,620,622,0,18,0,0,0,0
84,125,173,710,683,0,13,0,0,0,0
85,148,186,834,841,2,9,0,0,0,0
86,113,153,651,622,0,10,0,0,0,0
87,120,186,703,706,0,16,0,0,0,0
88,118,183,648,625,1,18,0,0,0,0
89,129,195,767,793,1,14,0,0,0,0
90,124,191,720,731,1,16,0,0,0,0
91,120,177,677,687,1,14,0,0,0,0
92,130,190,722,704,1,16,0,0,0,0
93,116,157,660,638,1,11,0,0,0,0
94,110,180,625,625,0,18,0,0,0,0
95,122,177,716,720,1,12,0,0,0,0
96,141,186,800,791,2,12,0,0,0,0
97,132,166,773,778,1,8,0,0,0,0
98,118,200,672,698,1,20,0,0,0,0
99,120,157,685,631,1,10,0,0,0,0
100,119,175,687,680,1,14,0,0,0,0
101,133,214,769,789,1,18,0,0,0,0
102,127,201,734,731,0,18,0,0,0,0
103,113,168,647,634,0,14,0,0,0,0
104,134,182,775,774,1,12,0,0,0,0
105,131,210,769,774,0,18,0,0,0,0
106,133,192,768,770,1,14,0,0,0,0
107,129,193,727,731,2,16,0,0,0,0
108,130,182,722,711,1,12,0,0,0,0
109,130,222,706,698,2,24,0,0,0,0
110,125,180,691,679,1,14,0,0,0,0
111,108,197,630,638,0,22,0,0,0,0
112,121,165,691,696,1,12,0,0,0,0
113,111,186,649,642,0,18,0,0,0,0
114,128,167,686,578,3,14,0,0,0,0
115,127,167,731,721,1,12,0,0,0,0
116,138,176,777,758,1,10,0,0,0,0
117,124,185,710,697,0,16,0,0,0,0
118,109,175,615,610,0,18,0,0,0,0
119,124,190,716,722,0,16,0,0,0,0
120,113,187,662,667,0,18,0,0,0,0
121,142,168,798,704,2,8,0,0,0,0
122,125,149,705,676,1,8,0,0,0,0
123,122,202,675,675,2,20,0,0,0,0
124,121,158,677,676,1,10,0,0,0,0
125,130,188,711,659,2,16,0,0,0,0
126,129,171,708,642,2,12,0,0,0,0
127,126,198,693,665,2,20,0,0,0,0
128,108,151,628,612,0,12,0,0,0,0
129,123,169,703,709,1,12,0,0,0,0
130,128,160,729,590,1,9,0,0,0,0
131,135,216,782,748,1,19,0,0,0,0
132,131,214,749,732,0,20,0,0,0,0
133,141,190,765,713,2,13,0,0,0,0
134,115,176,648,625,1,16,0,0,0,0
135,128,194,697,700,1,18,0,0,0,0
136,136,183,762,729,1,12,0,0,0,0
137,121,185,696,675,0,16,0,0,0,0
138,130,177,708,683,1,14,0,0,0,0
139,127,181,691,670,2,16,0,0,0,0
140,125,156,739,738,0,8,0,0,0,0
141,125,203,691,684,1,20,0,0,0,0
142,125,191,715,727,0,16,0,0,0,0
143,114,178,668,625,0,16,0,0,0,0
144,120,200,687,684,1,20,0,0,0,0
145,133,187,735,731,1,14,0,0,0,0
146,127,171,727,641,1,12,0,0,0,0
147,127,188,722,731,1,16,0,0,0,0
148,123,226,691,694,1,26,0,0,0,0
149,125,173,744,719,1,10,0,0,0,0
150,117,194,677,694,0,18,0,0,0,0
151,113,178,668,666,0,16,0,0,0,0
152,122,172,725,704,1,12,0,0,0,0
153,127,155,729,723,1,8,0,0,0,0
154,111,164,643,630,0,13,0,0,0,0
155,115,191,673,689,0,18,0,0,0,0
156,141,186,748,742,3,14,0,0,0,0
157,111,175,638,639,0,16,0,0,0,0
158,133,156,742,728,2,8,0,0,0,0
159,135,198,739,673,2,18,0,0,0,0
160,106,169,606,610,0,16,0,0,0,0
161,113,163,646,637,0,14,0,0,0,0
162,117,194,652,646,1,20,0,0,0,0
163,123,189,710,715,1,16,0,0,0,0
164,115,162,637,609,1,14,0,0,0,0
165,125,192,717,728,0,16,0,0,0,0
166,118,182,689,682,0,16,0,0,0,0
167,129,193,723,733,2,16,0,0,0,0
168,123,207,713,712,0,20,0,0,0,0
169,105,170,614,624,0,16,0,0,0,0
170,113,169,668,664,1,13,0,0,0,0
171,112,209,670,700,0,22,0,0,0,0
172,130,183,724,708,1,14,0,0,0,0
173,117,158,674,638,0,12,0,0,0,0
174,146,186,815,801,1,10,0,0,0,0
175,114,219,666,710,1,24,0,0,0,0
176,134,191,752,745,1,14,0,0,0,0
177,127,184,729,734,2,14,0,0,0,0
178,144,172,783,759,2,10,0,0,0,0
179,111,179,662,659,0,16,0,0,0,0
180,124,184,735,739,0,14,0,0,0,0
181,105,175,593,562,0,20,0,0,0,0
182,113,190,651,652,0,20,0,0,0,0
183,135,179,763,745,1,12,0,0,0,0
184,143,187,825,843,1,10,0,0,0,0
185,111,192,658,670,0,20,0,0,0,0
186,126,187,705,692,1,18,0,0,0,0
187,127,197,713,754,1,15,0,0,0,0
188,125,186,685,661,1,17,0,0,0,0
189,113,191,667,683,0,18,0,0,0,0
190,122,205,708,709,0,20,0,0,0,0
191,120,197,662,659,1,20,0,0,0,0
192,119,172,695,701,0,14,0,0,0,0
193,113,145,631,617,1,10,0,0,0,0
194,135,178,766,730,1,12,0,0,0,0
195,135,165,804,825,1,6,0,0,0,0
196,125,202,714,740,1,18,0,0,0,0
197,123,191,707,694,0,18,0,0,0,0
198,119,179,697,709,0,14,0,0,0,0
199,114,177,655,643,0,16,0,0,0,0
200,142,194,785,783,2,14,0,0,0,0
201,123,191,703,713,1,16,0,0,0,0
202,122,182,725,727,0,14,0,0,0,0
203,123,191,699,690,1,18,0,0,0,0
204,113,177,662,609,0,16,0,0,0,0
205,115,166,624,630,2,14,0,0,0,0
206,124,170,702,690,1,12,0,0,0,0
207,125,182,720,681,1,14,0,0,0,0
208,118,158,662,588,0,12,0,0,0,0
209,124,175,691,644,1,14,0,0,0,0
210,110,163,639,633,0,14,0,0,0,0
211,134,161,767,751,1,8,0,0,0,0
212,130,170,714,692,2,12,0,0,0,0
213,113,165,657,636,0,14,0,0,0,0
214,125,190,712,715,0,16,0,0,0,0
215,120,171,672,643,2,14,0,0,0,0
216,129,188,749,762,1,14,0,0,0,0
217,121,204,674,711,1,18,0,0,0,0
218,120,164,705,726,1,10,0,0,0,0
219,131,180,737,753,1,12,0,0,0,0
220,127,182,739,754,1,12,0,0,0,0
221,114,194,644,648,1,20,0,0,0,0
222,120,175,693,690,0,14,0,0,0,0
223,121,190,670,652,1,18,0,0,0,0
224,127,189,746,740,1,14,0,0,0,0
225,119,162,666,640,1,12,0,0,0,0
226,129,202,730,741,1,19,0,0,0,0
227,113,159,619,606,1,14,0,0,0,0
228,117,175,673,654,0,16,0,0,0,0
229,119,196,699,702,0,18,0,0,0,0
230,117,175,680,679,0,14,0,0,0,0
231,122,170,693,673,1,14,0,0,0,0
232,110,179,646,665,1,16,0,0,0,0
233,124,178,753,774,0,12,0,0,0,0
234,126,181,721,702,1,14,0,0,0,0
235,122,174,689,687,1,14,0,0,0,0
236,108,180,629,626,0,18,0,0,0,0
237,123,181,697,704,1,14,0,0,0,0
238,133,168,738,736,2,10,0,0,0,0
239,128,180,706,690,1,14,0,0,0,0
240,118,177,659,643,1,16,0,0,0,0
241,119,169,662,644,1,14,0,0,0,0
242,138,158,777,768,1,6,0,0,0,0
243,123,176,713,714,1,14,0,0,0,0
244,121,182,695,692,1,16,0,0,0,0
245,121,178,692,698,1,14,0,0,0,0
