bench,best_fixed_mode,best_fixed_cycles,adaptive_cycles,adaptive_gap_to_best_fixed_pct,best_fixed_energy,adaptive_energy,adaptive_energy_gap_to_best_fixed_pct,adaptive_safety_faults,adaptive_timed_out
arithmetic_heavy,fixed_hazard,29,30,-3.45,173,176,-1.73,0,0
branch_heavy,fixed_branch,105,114,-8.57,609,633,-3.94,0,0
coremark_toy,fixed_hazard,150,162,-8.00,927,957,-3.24,0,0
dhrystone_toy,fixed_branch,124,133,-7.26,798,825,-3.38,0,0
dsp_fir_codegen,fixed_hazard,168,194,-15.48,1046,1102,-5.35,0,0
load_use_heavy,fixed_hazard,169,178,-5.33,1017,1039,-2.16,0,0
memory_heavy,fixed_memory,147,201,-36.73,839,1038,-23.72,0,0
mixed_control,fixed_memory,105,127,-20.95,617,730,-18.31,0,0
pid_control_codegen,fixed_memory,178,200,-12.36,1080,1153,-6.76,0,0
tiny_fir,fixed_memory,127,160,-25.98,739,855,-15.70,0,0
