configuration_id,sweep_tag,obs_window_cycles,min_residency_cycles,threshold_profile,branch_threshold_events,mem_threshold_cycles,load_use_threshold_events,frontend_threshold_cycles,idle_retire_threshold,seed,workload_count,total_cycles,total_retired,aggregate_ipc,total_energy_proxy_units,total_transitions,total_safety_faults,total_timeouts,run_return_code
1,w16_r8_thtight_seed0,16,8,tight,4,4,3,6,4,0,13,3088,2174,0.7040,17946,30,0,0,0
2,w16_r8_thmedium_seed0,16,8,medium,8,8,6,10,8,0,13,3312,2174,0.6564,19172,1,0,0,0
3,w16_r8_thloose_seed0,16,8,loose,12,12,9,16,12,0,13,3307,2174,0.6574,19162,0,0,0,0
4,w16_r24_thtight_seed0,16,24,tight,4,4,3,6,4,0,13,3033,2174,0.7168,17887,15,0,0,0
5,w16_r24_thmedium_seed0,16,24,medium,8,8,6,10,8,0,13,3312,2174,0.6564,19172,1,0,0,0
6,w16_r24_thloose_seed0,16,24,loose,12,12,9,16,12,0,13,3307,2174,0.6574,19162,0,0,0,0
7,w16_r48_thtight_seed0,16,48,tight,4,4,3,6,4,0,13,3125,2174,0.6957,18289,13,0,0,0
8,w16_r48_thmedium_seed0,16,48,medium,8,8,6,10,8,0,13,3312,2174,0.6564,19172,1,0,0,0
9,w16_r48_thloose_seed0,16,48,loose,12,12,9,16,12,0,13,3307,2174,0.6574,19162,0,0,0,0
10,w32_r8_thtight_seed0,32,8,tight,4,4,3,6,4,0,13,3303,2174,0.6582,18727,62,0,0,0
11,w32_r8_thmedium_seed0,32,8,medium,8,8,6,10,8,0,13,3056,2174,0.7114,18055,12,0,0,0
12,w32_r8_thloose_seed0,32,8,loose,12,12,9,16,12,0,13,3238,2174,0.6714,18832,1,0,0,0
13,w32_r24_thtight_seed0,32,24,tight,4,4,3,6,4,0,13,3300,2174,0.6588,18710,61,0,0,0
14,w32_r24_thmedium_seed0,32,24,medium,8,8,6,10,8,0,13,3056,2174,0.7114,18055,12,0,0,0
15,w32_r24_thloose_seed0,32,24,loose,12,12,9,16,12,0,13,3238,2174,0.6714,18832,1,0,0,0
16,w32_r48_thtight_seed0,32,48,tight,4,4,3,6,4,0,13,3193,2174,0.6809,18426,40,0,0,0
17,w32_r48_thmedium_seed0,32,48,medium,8,8,6,10,8,0,13,3082,2174,0.7054,18153,12,0,0,0
18,w32_r48_thloose_seed0,32,48,loose,12,12,9,16,12,0,13,3244,2174,0.6702,18860,1,0,0,0
19,w64_r8_thtight_seed0,64,8,tight,4,4,3,6,4,0,13,3215,2174,0.6762,18503,40,0,0,0
20,w64_r8_thmedium_seed0,64,8,medium,8,8,6,10,8,0,13,3164,2174,0.6871,18442,30,0,0,0
21,w64_r8_thloose_seed0,64,8,loose,12,12,9,16,12,0,13,3098,2174,0.7017,18356,15,0,0,0
22,w64_r24_thtight_seed0,64,24,tight,4,4,3,6,4,0,13,3215,2174,0.6762,18503,40,0,0,0
23,w64_r24_thmedium_seed0,64,24,medium,8,8,6,10,8,0,13,3164,2174,0.6871,18442,30,0,0,0
24,w64_r24_thloose_seed0,64,24,loose,12,12,9,16,12,0,13,3098,2174,0.7017,18356,15,0,0,0
25,w64_r48_thtight_seed0,64,48,tight,4,4,3,6,4,0,13,3215,2174,0.6762,18503,40,0,0,0
26,w64_r48_thmedium_seed0,64,48,medium,8,8,6,10,8,0,13,3164,2174,0.6871,18442,30,0,0,0
27,w64_r48_thloose_seed0,64,48,loose,12,12,9,16,12,0,13,3098,2174,0.7017,18356,15,0,0,0
