seed,phases_seen,transitions_seen,hazard_during_reconfig,back_to_back_reconfig_requests,reconfig_then_branch,reconfig_then_load_use,return_code,assertion_failures,log
1,00000011,00000002,0,5,0,0,0,0,/workspace/results/safety/fuzz_seed_1.log
2,00000009,00000008,0,5,0,0,0,0,/workspace/results/safety/fuzz_seed_2.log
3,00000001,00000000,0,0,0,0,0,0,/workspace/results/safety/fuzz_seed_3.log
4,00000019,00010008,0,10,0,0,0,0,/workspace/results/safety/fuzz_seed_4.log
5,00000019,00000102,0,10,0,0,0,0,/workspace/results/safety/fuzz_seed_5.log
6,00000015,00000004,1,7,0,0,0,0,/workspace/results/safety/fuzz_seed_6.log
7,00000019,00000102,0,10,1,0,0,0,/workspace/results/safety/fuzz_seed_7.log
8,00000001,00000000,0,0,0,0,0,0,/workspace/results/safety/fuzz_seed_8.log
9,00000001,00000000,0,0,0,0,0,0,/workspace/results/safety/fuzz_seed_9.log
10,00000011,00000002,0,5,0,0,0,0,/workspace/results/safety/fuzz_seed_10.log
11,00000011,00000002,0,5,0,0,0,0,/workspace/results/safety/fuzz_seed_11.log
12,00000001,00000000,0,0,0,0,0,0,/workspace/results/safety/fuzz_seed_12.log
13,0000000d,00002004,0,10,0,0,0,0,/workspace/results/safety/fuzz_seed_13.log
14,00000001,00000000,0,0,0,0,0,0,/workspace/results/safety/fuzz_seed_14.log
15,00000001,00000000,0,0,0,0,0,0,/workspace/results/safety/fuzz_seed_15.log
16,00000009,00000008,0,5,0,0,0,0,/workspace/results/safety/fuzz_seed_16.log
17,00000011,00000002,0,5,1,0,0,0,/workspace/results/safety/fuzz_seed_17.log
18,00000011,00000002,0,5,0,0,0,0,/workspace/results/safety/fuzz_seed_18.log
19,00000001,00000000,0,0,0,0,0,0,/workspace/results/safety/fuzz_seed_19.log
20,00000001,00000000,0,0,0,0,0,0,/workspace/results/safety/fuzz_seed_20.log
21,00000019,00010008,1,12,0,0,0,0,/workspace/results/safety/fuzz_seed_21.log
22,00000011,00000002,0,5,1,0,0,0,/workspace/results/safety/fuzz_seed_22.log
23,00000001,00000000,0,0,0,0,0,0,/workspace/results/safety/fuzz_seed_23.log
24,00000009,00000008,0,6,0,0,0,0,/workspace/results/safety/fuzz_seed_24.log
25,00000001,00000000,0,0,0,0,0,0,/workspace/results/safety/fuzz_seed_25.log
