seed,mode,cycles,retired,stalls,flushes,mem_wait,load_use,reconfigs,reconfig_penalty,energy,safety_faults,timed_out,return_code,assertion_failures,log
1,static_normal,118,72,25,16,6,13,0,0,672,0,0,0,0,/repo/results/safety/fuzz_seed_1.log
1,fixed_branch,110,72,25,8,6,13,0,0,640,0,0,0,0,/repo/results/safety/fuzz_seed_1.log
1,fixed_memory,112,72,19,16,0,13,0,0,646,0,0,0,0,/repo/results/safety/fuzz_seed_1.log
1,fixed_hazard,105,72,12,16,6,0,0,0,637,0,0,0,0,/repo/results/safety/fuzz_seed_1.log
1,adaptive_pipesense,122,72,30,15,6,13,1,4,678,0,0,0,0,/repo/results/safety/fuzz_seed_1.log
2,static_normal,125,74,35,8,12,19,0,0,715,0,0,0,0,/repo/results/safety/fuzz_seed_2.log
2,fixed_branch,121,74,35,4,12,19,0,0,699,0,0,0,0,/repo/results/safety/fuzz_seed_2.log
2,fixed_memory,113,74,23,8,0,17,0,0,665,0,0,0,0,/repo/results/safety/fuzz_seed_2.log
2,fixed_hazard,108,74,18,8,12,0,0,0,674,0,0,0,0,/repo/results/safety/fuzz_seed_2.log
2,adaptive_pipesense,122,74,32,8,12,11,1,4,703,0,0,0,0,/repo/results/safety/fuzz_seed_2.log
3,static_normal,113,76,21,10,8,7,0,0,680,0,0,0,0,/repo/results/safety/fuzz_seed_3.log
3,fixed_branch,108,76,21,5,8,7,0,0,660,0,0,0,0,/repo/results/safety/fuzz_seed_3.log
3,fixed_memory,105,76,13,10,0,7,0,0,642,0,0,0,0,/repo/results/safety/fuzz_seed_3.log
3,fixed_hazard,106,76,14,10,8,0,0,0,661,0,0,0,0,/repo/results/safety/fuzz_seed_3.log
3,adaptive_pipesense,113,76,21,10,8,7,0,0,680,0,0,0,0,/repo/results/safety/fuzz_seed_3.log
4,static_normal,140,90,44,4,20,20,0,0,812,0,0,0,0,/repo/results/safety/fuzz_seed_4.log
4,fixed_branch,138,90,44,2,20,20,0,0,804,0,0,0,0,/repo/results/safety/fuzz_seed_4.log
4,fixed_memory,120,90,24,4,0,18,0,0,724,0,0,0,0,/repo/results/safety/fuzz_seed_4.log
4,fixed_hazard,122,90,26,4,20,0,0,0,770,0,0,0,0,/repo/results/safety/fuzz_seed_4.log
4,adaptive_pipesense,143,90,49,4,20,15,2,8,814,0,0,0,0,/repo/results/safety/fuzz_seed_4.log
5,static_normal,131,79,37,6,16,17,0,0,766,0,0,0,0,/repo/results/safety/fuzz_seed_5.log
5,fixed_branch,128,79,37,3,16,17,0,0,754,0,0,0,0,/repo/results/safety/fuzz_seed_5.log
5,fixed_memory,115,79,21,6,0,15,0,0,694,0,0,0,0,/repo/results/safety/fuzz_seed_5.log
5,fixed_hazard,116,79,22,6,16,0,0,0,729,0,0,0,0,/repo/results/safety/fuzz_seed_5.log
