sweep_tag,obs_window,min_residency,threshold_profile,seed,bench,baseline_mode,adaptive_cycles,baseline_cycles,cycle_reduction_pct,adaptive_wins_cycles,adaptive_ipc,baseline_ipc,ipc_improvement_pct,adaptive_energy,baseline_energy,energy_reduction_pct
w16_r8_thtight_seed0,16,8,tight,0,arithmetic_heavy,static_normal,30,30,0.00,False,0.7333,0.7333,0.00,176,176,0.00
w16_r8_thtight_seed0,16,8,tight,0,arithmetic_heavy,fixed_branch,30,30,0.00,False,0.7333,0.7333,0.00,176,176,0.00
w16_r8_thtight_seed0,16,8,tight,0,arithmetic_heavy,fixed_memory,30,30,0.00,False,0.7333,0.7333,0.00,176,176,0.00
w16_r8_thtight_seed0,16,8,tight,0,arithmetic_heavy,fixed_hazard,30,29,-3.45,False,0.7333,0.7586,-3.34,176,173,-1.73
w16_r8_thtight_seed0,16,8,tight,0,arithmetic_heavy,fixed_low_power,30,30,0.00,False,0.7333,0.7333,0.00,176,116,-51.72
w16_r8_thtight_seed0,16,8,tight,0,branch_heavy,static_normal,114,128,10.94,True,0.6491,0.5781,12.28,633,678,6.64
w16_r8_thtight_seed0,16,8,tight,0,branch_heavy,fixed_branch,114,105,-8.57,False,0.6491,0.7048,-7.90,633,609,-3.94
w16_r8_thtight_seed0,16,8,tight,0,branch_heavy,fixed_memory,114,128,10.94,True,0.6491,0.5781,12.28,633,678,6.64
w16_r8_thtight_seed0,16,8,tight,0,branch_heavy,fixed_hazard,114,127,10.24,True,0.6491,0.5827,11.40,633,675,6.22
w16_r8_thtight_seed0,16,8,tight,0,branch_heavy,fixed_low_power,114,128,10.94,True,0.6491,0.5781,12.28,633,422,-50.00
w16_r8_thtight_seed0,16,8,tight,0,coremark_toy,static_normal,190,162,-17.28,False,0.5947,0.6975,-14.74,996,957,-4.08
w16_r8_thtight_seed0,16,8,tight,0,coremark_toy,fixed_branch,190,151,-25.83,False,0.5947,0.7483,-20.53,996,913,-9.09
w16_r8_thtight_seed0,16,8,tight,0,coremark_toy,fixed_memory,190,154,-23.38,False,0.5947,0.7338,-18.96,996,923,-7.91
w16_r8_thtight_seed0,16,8,tight,0,coremark_toy,fixed_hazard,190,150,-26.67,False,0.5947,0.7533,-21.05,996,927,-7.44
w16_r8_thtight_seed0,16,8,tight,0,coremark_toy,fixed_low_power,190,162,-17.28,False,0.5947,0.6975,-14.74,996,633,-57.35
w16_r8_thtight_seed0,16,8,tight,0,dhrystone_toy,static_normal,133,133,0.00,False,0.7970,0.7970,0.00,825,825,0.00
w16_r8_thtight_seed0,16,8,tight,0,dhrystone_toy,fixed_branch,133,124,-7.26,False,0.7970,0.8548,-6.76,825,798,-3.38
w16_r8_thtight_seed0,16,8,tight,0,dhrystone_toy,fixed_memory,133,131,-1.53,False,0.7970,0.8092,-1.51,825,815,-1.23
w16_r8_thtight_seed0,16,8,tight,0,dhrystone_toy,fixed_hazard,133,133,0.00,False,0.7970,0.7970,0.00,825,825,0.00
w16_r8_thtight_seed0,16,8,tight,0,dhrystone_toy,fixed_low_power,133,133,0.00,False,0.7970,0.7970,0.00,825,559,-47.58
w16_r8_thtight_seed0,16,8,tight,0,dsp_fir_codegen,static_normal,210,192,-9.38,False,0.5952,0.6510,-8.57,1126,1106,-1.81
w16_r8_thtight_seed0,16,8,tight,0,dsp_fir_codegen,fixed_branch,210,185,-13.51,False,0.5952,0.6757,-11.91,1126,1085,-3.78
w16_r8_thtight_seed0,16,8,tight,0,dsp_fir_codegen,fixed_memory,210,170,-23.53,False,0.5952,0.7353,-19.05,1126,1008,-11.71
w16_r8_thtight_seed0,16,8,tight,0,dsp_fir_codegen,fixed_hazard,210,168,-25.00,False,0.5952,0.7440,-20.00,1126,1046,-7.65
w16_r8_thtight_seed0,16,8,tight,0,dsp_fir_codegen,fixed_low_power,210,192,-9.38,False,0.5952,0.6510,-8.57,1126,722,-55.96
w16_r8_thtight_seed0,16,8,tight,0,load_use_heavy,static_normal,229,205,-11.71,False,0.5590,0.6244,-10.47,1155,1125,-2.67
w16_r8_thtight_seed0,16,8,tight,0,load_use_heavy,fixed_branch,229,188,-21.81,False,0.5590,0.6809,-17.90,1155,1074,-7.54
w16_r8_thtight_seed0,16,8,tight,0,load_use_heavy,fixed_memory,229,205,-11.71,False,0.5590,0.6244,-10.47,1155,1125,-2.67
w16_r8_thtight_seed0,16,8,tight,0,load_use_heavy,fixed_hazard,229,169,-35.50,False,0.5590,0.7574,-26.19,1155,1017,-13.57
w16_r8_thtight_seed0,16,8,tight,0,load_use_heavy,fixed_low_power,229,205,-11.71,False,0.5590,0.6244,-10.47,1155,715,-61.54
w16_r8_thtight_seed0,16,8,tight,0,memory_heavy,static_normal,233,231,-0.87,False,0.4292,0.4329,-0.85,1117,1231,9.26
w16_r8_thtight_seed0,16,8,tight,0,memory_heavy,fixed_branch,233,218,-6.88,False,0.4292,0.4587,-6.43,1117,1192,6.29
w16_r8_thtight_seed0,16,8,tight,0,memory_heavy,fixed_memory,233,147,-58.50,False,0.4292,0.6803,-36.91,1117,839,-33.13
w16_r8_thtight_seed0,16,8,tight,0,memory_heavy,fixed_hazard,233,217,-7.37,False,0.4292,0.4608,-6.86,1117,1217,8.22
w16_r8_thtight_seed0,16,8,tight,0,memory_heavy,fixed_low_power,233,231,-0.87,False,0.4292,0.4329,-0.85,1117,769,-45.25
w16_r8_thtight_seed0,16,8,tight,0,mixed_control,static_normal,149,131,-13.74,False,0.5101,0.5802,-12.08,763,747,-2.14
w16_r8_thtight_seed0,16,8,tight,0,mixed_control,fixed_branch,149,120,-24.17,False,0.5101,0.6333,-19.45,763,714,-6.86
w16_r8_thtight_seed0,16,8,tight,0,mixed_control,fixed_memory,149,105,-41.90,False,0.5101,0.7238,-29.52,763,617,-23.66
w16_r8_thtight_seed0,16,8,tight,0,mixed_control,fixed_hazard,149,131,-13.74,False,0.5101,0.5802,-12.08,763,747,-2.14
w16_r8_thtight_seed0,16,8,tight,0,mixed_control,fixed_low_power,149,131,-13.74,False,0.5101,0.5802,-12.08,763,485,-57.32
w16_r8_thtight_seed0,16,8,tight,0,pid_control_codegen,static_normal,213,192,-10.94,False,0.6432,0.7135,-9.85,1175,1144,-2.71
