bench,normal_cycles,adaptive_cycles,cycle_reduction_pct,normal_ipc,adaptive_ipc,ipc_improvement_pct,normal_energy,adaptive_energy,energy_reduction_pct,adaptive_reconfigs,adaptive_reconfig_penalty
arithmetic_heavy,30,30,0.00,0.7333,0.7333,0.00,176,176,0.00,0,0
branch_heavy,128,114,10.94,0.5781,0.6491,12.28,678,633,6.64,1,2
coremark_toy,162,159,1.85,0.6975,0.7107,1.89,957,930,2.82,2,7
dhrystone_toy,133,133,0.00,0.7970,0.7970,0.00,825,825,0.00,0,0
dsp_fir_codegen,192,177,7.81,0.6510,0.7062,8.48,1106,1064,3.80,1,4
load_use_heavy,205,228,-11.22,0.6244,0.5614,-10.09,1125,1149,-2.13,12,42
long_fir_stress,876,791,9.70,0.6632,0.7345,10.75,5098,4702,7.77,1,7
memory_heavy,231,156,32.47,0.4329,0.6410,48.07,1231,873,29.08,1,3
mixed_control,131,114,12.98,0.5802,0.6667,14.91,747,647,13.39,1,4
pid_control_codegen,192,187,2.60,0.7135,0.7326,2.68,1144,1112,2.80,1,4
pid_phase_stress,653,620,5.05,0.7443,0.7839,5.32,3965,3803,4.09,1,4
random_mem_latency_stress,215,228,-6.05,0.6326,0.5965,-5.71,1227,1220,0.57,6,26
tiny_fir,159,151,5.03,0.5660,0.5960,5.30,883,812,8.04,3,14
