bench,best_fixed_mode,best_fixed_cycles,adaptive_cycles,adaptive_gap_to_best_fixed_pct,best_fixed_energy,adaptive_energy,adaptive_energy_gap_to_best_fixed_pct,adaptive_safety_faults,adaptive_timed_out
arithmetic_heavy,fixed_hazard,29,30,-3.45,173,176,-1.73,0,0
branch_heavy,fixed_branch,105,114,-8.57,609,633,-3.94,0,0
coremark_toy,fixed_hazard,150,190,-26.67,927,996,-7.44,0,0
dhrystone_toy,fixed_branch,124,133,-7.26,798,825,-3.38,0,0
dsp_fir_codegen,fixed_hazard,168,210,-25.00,1046,1126,-7.65,0,0
load_use_heavy,fixed_hazard,169,229,-35.50,1017,1155,-13.57,0,0
memory_heavy,fixed_memory,147,233,-58.50,839,1117,-33.13,0,0
mixed_control,fixed_memory,105,149,-41.90,617,763,-23.66,0,0
pid_control_codegen,fixed_memory,178,213,-19.66,1080,1175,-8.80,0,0
tiny_fir,fixed_memory,127,169,-33.07,739,881,-19.22,0,0
